LoAu,English Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hammersmith and Fulham,London,"127,200","128,500","130,100","132,000","132,400","134,800","135,100","136,300","135,000","133,400","132,600","132,300","131,000","130,800"
Haringey,London,"159,000","160,900","163,900","166,700","172,900","176,900","178,800","181,100","182,400","184,500","186,400","188,900","191,600","190,100"
Harrow,London,"142,300","146,100","148,300","150,100","151,800","154,200","156,700","158,400","158,400","158,000","158,500","159,000","159,600","158,500"
Havering,London,"141,500","142,600","144,200","145,600","147,000","148,500","149,900","150,800","150,700","151,500","153,300","155,300","157,300","158,800"
Hillingdon,London,"163,200","165,400","167,600","169,700","172,700","175,700","178,200","182,800","185,500","187,800","190,900","193,700","195,500","196,600"
Hounslow,London,"150,900","154,400","157,900","161,900","164,800","168,400","172,300","176,200","177,400","178,100","179,000","179,600","179,700","179,000"
Islington,London,"132,200","134,900","136,800","140,000","143,000","147,100","149,800","155,400","158,800","162,000","166,500","171,300","174,800","176,700"
Kensington and Chelsea,London,"120,800","123,400","121,000","118,900","118,600","117,800","116,300","114,500","111,900","111,000","110,500","110,200","107,700","106,100"
Kingston upon Thames,London,"104,200","105,400","106,600","106,900","107,900","108,400","108,700","109,500","110,600","111,700","112,800","114,700","115,800","115,900"
Lambeth,London,"198,600","202,300","205,100","209,500","213,200","217,500","220,200","226,400","230,100","232,300","235,600","238,800","240,700","241,200"
Lewisham,London,"174,200","176,600","179,400","182,000","186,500","189,200","190,000","193,400","195,800","198,500","202,600","206,300","209,200","211,000"
Merton,London,"129,400","131,000","132,800","134,300","135,500","137,200","137,400","138,300","138,100","138,600","138,600","138,900","138,700","137,600"
Newham,London,"170,500","170,000","174,000","180,900","189,000","197,500","209,500","219,600","223,200","226,200","230,800","237,000","242,800","244,900"
Redbridge,London,"162,400","164,200","167,100","170,400","174,200","177,400","180,000","184,400","185,700","188,100","191,300","193,900","196,200","196,100"
Richmond upon Thames,London,"122,800","124,300","125,000","124,600","124,500","124,600","125,000","124,900","124,300","124,500","125,100","125,000","124,900","124,400"
Southwark,London,"181,700","186,800","192,600","197,500","201,600","205,600","208,300","212,900","215,900","219,700","222,500","226,600","228,500","229,900"
Sutton,London,"118,400","119,200","120,200","121,200","122,600","123,900","124,400","125,400","125,700","126,700","127,700","128,400","129,300","129,600"
Tower Hamlets,London,"147,800","150,400","155,400","162,400","169,000","176,500","183,200","190,000","195,000","201,900","210,300","217,100","222,000","226,400"
Waltham Forest,London,"152,000","153,200","156,600","160,400","165,400","169,900","174,300","178,600","179,400","180,900","182,100","183,800","185,700","185,900"
Wandsworth,London,"207,300","211,400","215,500","218,600","220,600","223,700","225,600","229,400","229,200","231,000","232,500","233,900","234,400","234,700"
Westminster,London,"162,300","170,300","169,600","166,800","164,400","161,900","160,800","162,200","163,900","163,400","165,700","171,200","173,100","173,900"
County Durham,North East,"320,400","322,400","324,600","327,800","329,800","330,400","331,700","331,800","329,200","328,600","327,600","327,300","327,300","326,900"
Darlington,North East,"62,600","63,300","64,400","65,400","66,200","66,600","66,700","66,800","66,100","65,900","65,600","65,400","65,300","64,900"
Gateshead,North East,"122,800","123,800","124,800","126,000","127,200","128,200","128,800","129,400","128,500","127,800","127,700","128,200","128,300","127,900"
Hartlepool,North East,"56,400","56,700","57,100","57,500","58,100","58,300","58,400","58,600","58,300","58,300","57,800","57,600","57,700","57,500"
Middlesbrough,North East,"89,100","89,300","89,300","89,400","89,200","88,800","89,000","89,500","89,400","89,100","88,800","88,600","89,100","88,900"
Newcastle upon Tyne,North East,"178,500","181,800","183,200","185,100","185,600","187,500","190,300","192,300","193,300","195,800","196,900","198,400","200,300","201,500"
North Tyneside,North East,"123,200","124,200","125,700","127,000","128,400","129,000","129,600","129,900","128,900","128,600","128,300","127,600","127,400","127,300"
Northumberland,North East,"197,400","197,800","198,400","199,700","200,100","199,700","199,200","198,700","196,300","194,400","193,100","191,600","190,900","190,600"
Redcar and Cleveland,North East,"87,100","86,900","86,600","86,200","86,100","85,600","85,100","84,600","83,500","82,800","82,200","81,900","81,700","81,500"
South Tyneside,North East,"94,300","94,300","94,400","94,900","95,100","95,400","95,500","95,400","94,900","94,500","94,000","93,500","93,500","93,300"
Stockton-on-Tees,North East,"119,900","120,800","121,700","122,400","123,300","123,900","124,400","124,500","123,800","123,500","123,400","123,100","123,100","122,700"
Sunderland,North East,"181,900","181,800","181,800","182,000","181,600","181,200","181,000","180,200","178,900","178,200","177,900","177,200","176,600","175,500"
Allerdale,North West,"59,600","59,700","59,900","60,400","60,500","60,400","60,100","60,100","59,200","58,800","58,500","58,400","58,200","57,900"
Barrow-in-Furness,North West,"44,600","44,600","44,400","44,400","44,200","44,200","44,000","43,700","42,900","42,200","41,900","41,700","41,300","41,000"
Blackburn with Darwen,North West,"88,700","89,500","90,500","91,400","92,200","93,100","93,700","94,200","93,800","93,400","92,800","92,800","93,000","92,800"
Blackpool,North West,"89,300","90,000","90,400","90,800","90,300","90,000","90,000","89,300","88,500","87,900","87,100","86,300","86,100","85,600"
Bolton,North West,"169,100","169,700","171,400","172,600","173,900","175,200","176,200","177,300","176,900","176,500","175,700","175,500","176,000","175,800"
Burnley,North West,"55,700","55,700","56,100","56,100","56,200","55,900","55,600","55,700","55,000","54,400","54,200","53,900","53,600","53,300"
Bury,North West,"116,000","116,000","116,900","117,700","118,000","118,200","118,600","118,500","117,600","116,900","116,600","116,400","116,400","116,700"
Carlisle,North West,"67,300","68,400","69,400","70,000","69,700","69,300","69,100","69,000","68,600","68,300","67,600","67,100","66,700","66,200"
Cheshire East,North West,"226,800","228,600","230,600","232,700","233,700","233,200","232,900","233,000","231,000","229,000","227,900","227,300","226,600","226,100"
Cheshire West and Chester,North West,"208,400","210,100","211,500","212,500","212,300","211,400","210,800","209,900","208,000","206,900","206,400","206,500","206,200","206,400"
Chorley,North West,"68,200","68,400","68,700","69,000","69,500","69,400","69,500","69,800","69,900","70,200","70,300","70,700","71,100","71,900"
Copeland,North West,"44,700","44,900","45,200","45,500","45,600","45,400","45,300","45,200","44,500","43,900","43,500","43,200","42,500","41,800"
Eden,North West,"32,400","32,600","32,700","32,900","33,000","32,800","32,700","32,400","32,200","31,800","31,600","31,300","31,000","30,900"
Fylde,North West,"45,000","45,300","45,400","45,800","45,700","45,800","45,700","45,500","44,900","44,900","44,900","44,900","45,000","45,200"
